depth_m,GTS_age,d13Ccarb,d18Ocarb
0.15,427.4,1.11,-6.19
0.6,427.403,1.28,-6.06
1.05,427.407,1.11,-6.14
1.5,427.41,1.11,-6.02
1.95,427.413,1.18,-6.18
2.4,427.417,1.15,-6.23
2.85,427.42,1.28,-6.7
3.3,427.423,1.21,-6.45
3.75,427.427,1.2,-6.43
4.2,427.43,1.09,-6.55
4.65,427.433,1.15,-6.45
5.1,427.437,1.37,-6.06
5.55,427.44,1.22,-6.19
6,427.444,1.17,-6.35
6.45,427.447,1.16,-5.82
6.91,427.45,1.33,-6.14
7.38,427.454,1.45,-5.88
7.8,427.457,1.44,-6.11
8.23,427.46,1.24,-5.85
8.67,427.464,1.36,-5.83
9.09,427.467,1.18,-6.55
9.42,427.47,1.3,-6
9.91,427.474,1.37,-6.12
10.34,427.477,1.27,-6.27
10.82,427.48,0.99,-6.54
11.28,427.484,1.22,-6.28
11.71,427.487,1.15,-6.35
12.14,427.49,1.18,-7.02
12.6,427.494,1.22,-6.64
13.06,427.497,1.26,-6.23
13.51,427.5,1.3,-6.64
13.89,427.504,1.32,-5.98
14.38,427.507,1.27,-6.55
14.83,427.51,1.26,-6.06
15.29,427.514,1.29,-6.41
15.75,427.517,1.27,-6.59
16.18,427.52,1.32,-6.02
16.69,427.524,1.28,-6.25
17.09,427.527,,
17.55,427.531,1.28,-6.26
18.01,427.534,1.19,-6.11
18.44,427.537,1.25,-6
18.9,427.541,1.27,-6.05
19.35,427.544,1.2,-6.26
19.84,427.547,1.11,-6.78
20.25,427.551,1.33,-6.22
20.7,427.554,1.39,-6
21.15,427.557,1.64,-5.76
21.55,427.561,1.41,-6.21
22.15,427.564,1.4,-5.97
22.5,427.567,1.47,-6.05
23,427.571,1.41,-6.27
23.42,427.574,1.4,-6.24
23.85,427.577,1.46,-6.1
24.26,427.581,1.51,-6.25
24.56,427.584,1.49,-5.74
25.05,427.587,1.43,-6.39
25.5,427.591,1.45,-6.07
25.95,427.594,1.49,-5.56
26.4,427.597,1.5,-5.72
26.85,427.601,1.45,-5.88
27.35,427.604,1.53,-6.29
27.75,427.607,1.45,-5.66
28.2,427.611,1.44,-5.71
28.7,427.614,1.38,-5.6
29.11,427.618,1.39,-6.21
29.57,427.621,1.44,-5.89
30,427.624,1.29,-5.44
30.5,427.628,1.3,-5.42
30.91,427.631,1.2,-5.46
31.37,427.634,1.2,-5.1
31.75,427.638,1.23,-5.63
32.26,427.641,1.22,-5.68
32.41,427.644,1.21,-5.5
32.56,427.648,,
32.72,427.651,1.17,-5.65
32.87,427.654,1.21,-5.51
33.32,427.658,1.18,-6.37
33.76,427.661,1.24,-6.23
34.21,427.664,1.13,-6
34.65,427.668,1.06,-6.21
35.1,427.671,,
35.56,427.674,,
36.02,427.678,1.12,-6.19
36.47,427.681,1.49,-6.06
36.91,427.684,1.32,-6.42
37.36,427.688,,
37.8,427.691,1.07,-6.24
38.25,427.694,,
38.71,427.698,0.98,-6.68
39.17,427.701,1.17,-6.8
39.62,427.705,1.05,-6.56
40.34,427.708,1.02,-6.25
40.89,427.711,0.89,-6.06
41.4,427.715,1.17,-6.14
41.86,427.718,1.15,-5.98
42.32,427.721,1.16,-6.79
42.75,427.725,0.82,-5.89
43.21,427.728,0.58,-6.15
43.66,427.731,-0.04,-6.07
44.12,427.735,0.17,-6.31
44.55,427.738,0.25,-6.55
45.01,427.741,0.36,-6.41
45.47,427.745,,
45.92,427.748,,
46.38,427.751,1.05,-6.41
46.81,427.755,1.07,-6.39
47.24,427.758,0.9,-6.53
47.7,427.761,0.87,-6.28
48.15,427.765,,
48.6,427.768,,
49.05,427.771,,
49.5,427.775,,
49.95,427.778,0.34,-5.94
50.4,427.781,0.36,-6.24
50.85,427.785,0.65,-5.67
51.35,427.788,0.48,-5.45
51.74,427.792,-0.12,-6.12
52.2,427.795,,
52.65,427.798,,
53.1,427.802,0.6,-5.24
53.54,427.805,,
54,427.808,,
54.46,427.812,0.05,-5.93
54.91,427.815,0.22,-5.95
55.35,427.818,0.46,-5.65
55.8,427.822,0.37,-5.91
56.26,427.825,0.19,-6.06
56.67,427.828,0.95,-4.98
57.15,427.832,-0.29,-6.04
57.61,427.835,-0.21,-6.78
58.05,427.838,-0.29,-6.22
58.5,427.842,-0.38,-6.6
58.95,427.845,-0.04,-6.15
59.4,427.848,0.27,-6.01
59.85,427.852,0.48,-5.92
60.31,427.855,0.15,-5.58
60.75,427.858,0.28,-5.72
61.2,427.862,-0.2,-6.06
61.65,427.865,0.03,-5.92
62.11,427.869,-0.19,-6
62.55,427.872,0.29,-5.92
63,427.875,0.71,-6.06
63.45,427.879,0.7,-5.71
63.9,427.882,-0.19,-5.85
64.35,427.885,0.52,-5.57
64.8,427.889,-0.1,-6.06
65.25,427.892,-0.2,-5.89
65.7,427.895,-0.02,-5.73
66.15,427.899,-0.07,-5.87
66.6,427.902,-0.3,-6.12
67.05,427.905,-0.13,-5.71
67.51,427.909,-0.04,-5.94
67.95,427.912,-0.09,-5.67
68.4,427.915,0.02,-5.44
68.85,427.919,0.11,-6.11
69.3,427.922,-0.16,-5.7
69.75,427.925,0.01,-5.92
70.2,427.929,0.05,-5.99
70.65,427.932,0.07,-5.13
71.1,427.935,0.03,-5.46
71.55,427.939,0.37,-5.61
72,427.942,0.27,-6.3
72.45,427.945,0.18,-5.94
72.9,427.949,0.32,-5.81
73.35,427.952,,
73.8,427.956,0.35,-6.02
74.25,427.959,0.33,-5.69
74.7,427.962,0.35,-5.98
75.16,427.966,0.35,-5.48
75.6,427.969,0.35,-5.4
76.05,427.972,0.41,-5.63
76.5,427.976,0.44,-5.58
76.95,427.979,0.59,-5.5
77.4,427.982,0.33,-5.62
77.85,427.986,0.34,-5.08
78.3,427.989,0.38,-5.42
78.75,427.992,0.55,-5.34
79.05,427.996,0.3,-5.57
79.5,427.999,0.36,-5.85
79.95,428.002,0.47,-5.61
80.4,428.006,0.43,-5.57
80.85,428.009,,
81.3,428.012,0.3,-5.96
81.75,428.016,0.29,-5.54
82.2,428.019,0.37,-5.6
82.65,428.022,0.43,-5.16
83.1,428.026,0.47,-5.18
83.55,428.029,0.56,-5.62
84,428.032,0.45,-5.54
84.45,428.036,0.55,-5.58
84.9,428.039,0.56,-5.82
85.35,428.043,0.61,-5.54
85.8,428.046,0.58,-5.45
86.25,428.049,0.61,-5.56
86.7,428.053,,
87.15,428.056,0.63,-5.65
87.6,428.059,0.78,-5.66
88.05,428.063,0.88,-5.38
88.5,428.066,0.78,-5.4
88.95,428.069,1.1,-5.5
89.4,428.073,0.99,-5.77
89.85,428.076,0.91,-5.74
90.3,428.079,1.08,-5.75
90.75,428.083,,
91.2,428.086,1.29,-5.57
91.65,428.089,1.49,-5.26
92.1,428.093,1.21,-5.59
92.55,428.096,1.33,-5.47
93,428.099,1.95,-4.68
93.45,428.103,1.51,-5.32
93.9,428.106,2.12,-4.48
94.35,428.109,2.12,-4.49
94.8,428.113,2.29,-4.78
95.25,428.116,3.3,-4.04
